Site,Year,Month,Day,Hour,Value,Unit
Beijing,2014,4,11,16,52,mcg/m^3
Beijing,2014,4,11,17,59,mcg/m^3
Beijing,2014,4,11,18,60,mcg/m^3
Beijing,2014,4,11,19,68,mcg/m^3
Beijing,2014,4,11,20,83,mcg/m^3
Beijing,2014,4,11,21,103,mcg/m^3
Beijing,2014,4,11,22,98,mcg/m^3
Beijing,2014,4,11,23,78,mcg/m^3
Beijing,2014,4,12,0,82,mcg/m^3
Beijing,2014,4,12,1,88,mcg/m^3
Beijing,2014,4,12,2,96,mcg/m^3
Beijing,2014,4,12,3,118,mcg/m^3
Beijing,2014,4,12,4,128,mcg/m^3
Beijing,2014,4,12,5,143,mcg/m^3
Beijing,2014,4,12,6,158,mcg/m^3
Beijing,2014,4,12,7,143,mcg/m^3
Beijing,2014,4,12,8,190,mcg/m^3
Beijing,2014,4,12,9,151,mcg/m^3
Beijing,2014,4,12,10,187,mcg/m^3
Beijing,2014,4,12,11,114,mcg/m^3
Beijing,2014,4,12,12,88,mcg/m^3
Beijing,2014,4,12,13,78,mcg/m^3
Beijing,2014,4,12,14,75,mcg/m^3
Beijing,2014,4,12,15,89,mcg/m^3
Beijing,2014,4,12,16,91,mcg/m^3
Beijing,2014,4,12,17,109,mcg/m^3
Beijing,2014,4,12,18,119,mcg/m^3
Beijing,2014,4,12,19,119,mcg/m^3
Beijing,2014,4,12,20,110,mcg/m^3
Beijing,2014,4,12,21,120,mcg/m^3
Beijing,2014,4,12,22,155,mcg/m^3
Beijing,2014,4,12,23,120,mcg/m^3
Beijing,2014,4,13,0,128,mcg/m^3
Beijing,2014,4,13,1,131,mcg/m^3
Beijing,2014,4,13,2,142,mcg/m^3
Beijing,2014,4,13,3,144,mcg/m^3
Beijing,2014,4,13,4,150,mcg/m^3
Beijing,2014,4,13,5,151,mcg/m^3
Beijing,2014,4,13,6,149,mcg/m^3
Beijing,2014,4,13,7,157,mcg/m^3
Beijing,2014,4,13,8,173,mcg/m^3
Beijing,2014,4,13,9,182,mcg/m^3
Beijing,2014,4,13,10,188,mcg/m^3
Beijing,2014,4,13,11,175,mcg/m^3
Beijing,2014,4,13,12,167,mcg/m^3
Beijing,2014,4,13,13,162,mcg/m^3
Beijing,2014,4,13,14,157,mcg/m^3
Beijing,2014,4,13,15,147,mcg/m^3
Beijing,2014,4,13,16,157,mcg/m^3
Beijing,2014,4,13,17,159,mcg/m^3
Beijing,2014,4,13,18,134,mcg/m^3
Beijing,2014,4,13,19,136,mcg/m^3
Beijing,2014,4,13,20,158,mcg/m^3
Beijing,2014,4,13,21,186,mcg/m^3
Beijing,2014,4,13,22,231,mcg/m^3
Beijing,2014,4,13,23,254,mcg/m^3
Beijing,2014,4,14,0,249,mcg/m^3
Beijing,2014,4,14,1,262,mcg/m^3
Beijing,2014,4,14,2,282,mcg/m^3
Beijing,2014,4,14,3,280,mcg/m^3
Beijing,2014,4,14,4,268,mcg/m^3
Beijing,2014,4,14,5,255,mcg/m^3
Beijing,2014,4,14,6,247,mcg/m^3
Beijing,2014,4,14,7,244,mcg/m^3
Beijing,2014,4,14,8,270,mcg/m^3
Beijing,2014,4,14,9,280,mcg/m^3
Beijing,2014,4,14,10,274,mcg/m^3
Beijing,2014,4,14,11,280,mcg/m^3
Beijing,2014,4,14,12,266,mcg/m^3
Beijing,2014,4,14,13,239,mcg/m^3
Beijing,2014,4,14,14,225,mcg/m^3
Beijing,2014,4,14,15,-999,mcg/m^3
Beijing,2014,4,14,16,-999,mcg/m^3
Beijing,2014,4,14,17,224,mcg/m^3
Beijing,2014,4,14,18,246,mcg/m^3
Beijing,2014,4,14,19,252,mcg/m^3
Beijing,2014,4,14,20,274,mcg/m^3
Beijing,2014,4,14,21,187,mcg/m^3
Beijing,2014,4,14,22,80,mcg/m^3
Beijing,2014,4,14,23,56,mcg/m^3
Beijing,2014,4,15,0,55,mcg/m^3
Beijing,2014,4,15,1,55,mcg/m^3
Beijing,2014,4,15,2,57,mcg/m^3
Beijing,2014,4,15,3,67,mcg/m^3
Beijing,2014,4,15,4,69,mcg/m^3
Beijing,2014,4,15,5,78,mcg/m^3
Beijing,2014,4,15,6,83,mcg/m^3
Beijing,2014,4,15,7,105,mcg/m^3
Beijing,2014,4,15,8,112,mcg/m^3
Beijing,2014,4,15,9,104,mcg/m^3
Beijing,2014,4,15,10,103,mcg/m^3
Beijing,2014,4,15,11,93,mcg/m^3
Beijing,2014,4,15,12,106,mcg/m^3
Beijing,2014,4,15,13,53,mcg/m^3
Beijing,2014,4,15,14,54,mcg/m^3
Beijing,2014,4,15,15,48,mcg/m^3
Beijing,2014,4,15,16,38,mcg/m^3
Beijing,2014,4,15,17,40,mcg/m^3
Beijing,2014,4,15,18,34,mcg/m^3
Beijing,2014,4,15,19,47,mcg/m^3
Beijing,2014,4,15,20,54,mcg/m^3
Beijing,2014,4,15,21,65,mcg/m^3
Beijing,2014,4,15,22,41,mcg/m^3
Beijing,2014,4,15,23,39,mcg/m^3
Beijing,2014,4,16,0,35,mcg/m^3
Beijing,2014,4,16,1,51,mcg/m^3
Beijing,2014,4,16,2,54,mcg/m^3
Beijing,2014,4,16,3,69,mcg/m^3
Beijing,2014,4,16,4,59,mcg/m^3
Beijing,2014,4,16,5,51,mcg/m^3
Beijing,2014,4,16,6,45,mcg/m^3
Beijing,2014,4,16,7,44,mcg/m^3
Beijing,2014,4,16,8,52,mcg/m^3
Beijing,2014,4,16,9,52,mcg/m^3
Beijing,2014,4,16,10,47,mcg/m^3
Beijing,2014,4,16,11,51,mcg/m^3
Beijing,2014,4,16,12,85,mcg/m^3
Beijing,2014,4,16,13,80,mcg/m^3
Beijing,2014,4,16,14,62,mcg/m^3
Beijing,2014,4,16,15,57,mcg/m^3
Beijing,2014,4,16,16,56,mcg/m^3
Beijing,2014,4,16,17,67,mcg/m^3
Beijing,2014,4,16,18,96,mcg/m^3
Beijing,2014,4,16,19,91,mcg/m^3
Beijing,2014,4,16,20,84,mcg/m^3
Beijing,2014,4,16,21,101,mcg/m^3
Beijing,2014,4,16,22,134,mcg/m^3
Beijing,2014,4,16,23,127,mcg/m^3
Beijing,2014,4,17,0,123,mcg/m^3
Beijing,2014,4,17,1,112,mcg/m^3
Beijing,2014,4,17,2,109,mcg/m^3
Beijing,2014,4,17,3,145,mcg/m^3
Beijing,2014,4,17,4,124,mcg/m^3
Beijing,2014,4,17,5,107,mcg/m^3
Beijing,2014,4,17,6,109,mcg/m^3
Beijing,2014,4,17,7,110,mcg/m^3
Beijing,2014,4,17,8,116,mcg/m^3
Beijing,2014,4,17,9,105,mcg/m^3
Beijing,2014,4,17,10,93,mcg/m^3
Beijing,2014,4,17,11,106,mcg/m^3
Beijing,2014,4,17,12,103,mcg/m^3
Beijing,2014,4,17,13,102,mcg/m^3
Beijing,2014,4,17,14,101,mcg/m^3
Beijing,2014,4,17,15,101,mcg/m^3
Beijing,2014,4,17,16,117,mcg/m^3
Beijing,2014,4,17,17,131,mcg/m^3
Beijing,2014,4,17,18,128,mcg/m^3
Beijing,2014,4,17,19,127,mcg/m^3
Beijing,2014,4,17,20,141,mcg/m^3
Beijing,2014,4,17,21,137,mcg/m^3
Beijing,2014,4,17,22,151,mcg/m^3
Beijing,2014,4,17,23,152,mcg/m^3
Beijing,2014,4,18,0,148,mcg/m^3
Beijing,2014,4,18,1,151,mcg/m^3
